旅游团介绍,旅游团名,小分类,小分类url,旅游团价格,旅游团网页
"
                                            无自费，安心游玩泰国；广州往返，全程入住豪华酒店，A-ONE酒店一楼自助餐、海鲜餐、泰餐全席、泰式风味餐、万发/泰昌自助餐等                                        ",立减200 含寒假【2019年无自费 泰国曼谷 芭堤雅 双飞6天 广州往返】 珊瑚岛 金沙岛 龙虎园 杜拉拉水上市场 泰安心,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,2299元,http://www.jinmalvyou.com/travel/show?good_id=38789
"
                                            保证无自费，广州往返，直飞曼谷，正点航班，全程入住豪华酒店，芭堤雅保证入住两晚海边酒店；                                        ",立减200 含寒假【无自费 泰国曼谷 芭堤雅双飞6天 两晚海边酒店】月光岛 曼谷唐人街 迷你暹罗世界 （泰品质 广州往返 正点航班）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,2899元,http://www.jinmalvyou.com/travel/show?good_id=35011
"
                                            白天无自费，安心游玩泰国；全程入住豪华酒店，芭堤雅保证入住两晚海边酒店；大皇宫+玉佛寺、太平洋观景台、素啪他观光果园                                        ",2月立减200【全明星号豪华游轮 泰国曼谷 芭堤雅双飞6天 白天无自费】 珊瑚岛 金沙岛  机器人夜市（东航广州往返 泰尊享）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,2199元,http://www.jinmalvyou.com/travel/show?good_id=40585
"
                                            广州往返，广州直航清迈，清迈入住豪华酒店，清莱入住豪华酒店，特别安排泰菜烹饪体验，奥特莱斯买买买！                                        ",旅展 含寒假【￥2398/2人泰欢笑】泰国清迈 清莱 泰菜烹饪体验 奥特莱斯 双飞全景6天（广州往返）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,2398元,http://www.jinmalvyou.com/travel/show?good_id=35962
"
                                            富贵黄金屋、泰式风情园、机器人夜市，芭堤雅保证入住两晚海边酒店；餐标全面升级，让你大饱口福，A-one国际自助餐、光海鲜海鲜餐                                        ",【春节 印象泰国 曼谷 芭堤雅双飞6天 广州往返】月光岛 富贵黄金屋 北榄鳄鱼湖 机器人夜市 ,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,3999元,http://www.jinmalvyou.com/travel/show?good_id=39378
"
                                            无自费，安心游玩泰国；芭堤雅实弹射击体验，新春刺激一把；广州往返，直飞曼谷，正点航班，全程入住豪华酒店，芭堤雅保证入住两晚海边酒店；                                        ",【春节无自费 臻爱泰国曼谷 芭堤雅双飞6天 广州正点航班往返】月光岛 太平洋观景台 巧克力小镇 实弹射击体验 摩天轮夜市,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,5399元,http://www.jinmalvyou.com/travel/show?good_id=38265
"
                                            无自费，芭堤雅保证入住两晚海边酒店，餐标全面升级，让你大饱口福，A-one国际自助餐，泰迪熊博物馆、Mimosa爱之城、拉差达火车夜市。                                        ",立减200【春节无自费 趣玩泰国曼谷 芭堤雅 双飞6天 广州往返】月光岛 泰迪熊博物馆 Mimosa爱之城 拉差达火车夜市 泰菜DIY,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,4999元,http://www.jinmalvyou.com/travel/show?good_id=39179
"
                                            川航广州往返机票+4晚豪华中央富帕诺酒店+甲米机场酒店往返接送                                        ",旅展爆款【￥3399/2人 甲米双飞5天自由行】 川航广州往返机票+4晚豪华中央富帕诺酒店+甲米机场酒店往返接送,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,3599元,http://www.jinmalvyou.com/travel/show?good_id=37482
"
                                                                                    ",含寒假【泰国斯米兰+普吉双岛联游5天 广州往返】 橡皮船泛舟 住考拉 国际人妖表演 金佛寺全程豪华酒店,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,1999元,http://www.jinmalvyou.com/travel/show?good_id=39815
"
                                            探访甲米象牙宝穴+橡皮船泛舟+地下河，升级入住1晚甲米豪华酒店+3晚布吉海边豪华酒店，快艇巡游蓝钻珊瑚岛、斯米兰—世界级潜水圣地                                        ",立减1000【春节】泰国斯米兰+普吉双岛联游6天（广州往返 一晚国际超豪华酒店 奥曼海滩冒险俱乐部 品网红餐厅 神仙半岛）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,6999元,http://www.jinmalvyou.com/travel/show?good_id=39056
"
                                            世界级潜水圣地、快艇巡游蓝钻珊瑚岛，沙发里骑大象、人妖歌舞表演及尊贵，全程2晚海边豪华酒店+2晚海边超豪华酒店，全程2晚海边豪华酒店+2晚海边超豪华酒店                                        ",立减500【春节南航】泰国普吉岛+斯米兰岛6天（广州往返 2晚海边超豪华酒店 攀牙湾00岛 蓝钻珊瑚岛 神仙半岛 网红山顶餐厅）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,6999元,http://www.jinmalvyou.com/travel/show?good_id=38309
"
                                            无自费，广州往返，正点航班豪华客机直飞曼谷机场；A-ONE酒店一楼自助餐、万发自助餐，您可在游艇上体验海钓这一绝佳的海上娱乐活动！                                        ",3月立减200【无自费 游艇出海海钓 】泰国 曼谷 芭堤雅浮潜 巧克力小镇 杜拉拉水上市场 双飞6天（泰精品 广州往返）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,3399元,http://www.jinmalvyou.com/travel/show?good_id=36586
"
                                            探访甲米象牙宝穴+橡皮船泛舟+地下河，升级入住1晚甲米豪华酒店+3晚布吉海边豪华酒店，特别安排普吉镇网红山顶餐厅、大富豪海鲜餐                                        ",立减500【春节】泰国斯米兰+普吉双岛联游5天4晚（广州往返 奥曼海滩冒险俱乐部 品网红餐厅 神仙半岛）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,6399元,http://www.jinmalvyou.com/travel/show?good_id=39048
"
                                            广州往返，品质保证 全程绝无强迫自费及消费，帝王歌舞宴、泰北金三角风味餐、咖喱螃蟹泰式餐+芒果糯米饭                                        ",【春节泰悠游 泰国清迈 清莱 双飞6天】马车之城南邦 玻璃白庙 蓝庙 夜市 金三角（广州往返）,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,5799元,http://www.jinmalvyou.com/travel/show?good_id=39688
"
                                                                                    ",【泰国清迈 双飞全景6天】清莱夜市 玻璃白庙 蓝庙 长颈族村 金三角 【广州往返 特价团,泰国,http://www.jinmalvyou.com/search/index/keyword/%E6%B3%B0%E5%9B%BD ,4399元,http://www.jinmalvyou.com/travel/show?good_id=22445
"
                                                                                    ",【尼泊尔四飞6天】加德满都 博卡拉 纳加阔特 雪山佛国 广州往返,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,5099元,http://www.jinmalvyou.com/travel/show?good_id=23219
"
                                                                                    ",尼泊尔个人旅游签证,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,78元,http://www.jinmalvyou.com/visa/show?good_id=173
"
                                            升级一晚鱼尾山庄酒店+纳加阔特特色观景酒店+当地五星酒店，世界文化遗产--泰姬陵，纳加阔特观景台观看喜马拉雅山脉绝美雪景                                        ",【旅展特惠 印度+尼泊尔四飞8天】经典古国探秘之旅 广起港止 ,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,6999元,http://www.jinmalvyou.com/travel/show?good_id=41591
"
                                            看东方瑞士—博卡拉的恬淡优雅，观鱼尾峰壮丽的雪山日出；赏纳加阔特壮丽的雪山日落； 塔鲁族民族歌舞表演+尼式特色风味歌舞餐；                                        ",【港龙航空 尼泊尔双飞7天5晚】 加德满都 博卡拉 雪山日出日落 经典游 特价团,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,6399元,http://www.jinmalvyou.com/travel/show?good_id=40565
"
                                                                                    ",【春节】尼泊尔 加德满都 蓝毗尼 纳加阔特 博卡拉 奇特旺 喜马拉雅雪山 双飞9天 深起港止 全景游 ,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,11499元,http://www.jinmalvyou.com/travel/show?good_id=38156
"
                                            南航广州起止直飞加德满都;加游佛祖诞生地-蓝毗尼，本迪布尔-纽瓦丽文化博物馆 ，博卡拉—不可错过的绝美的安纳普尔娜雪山日出，                                        ",含寒假【雪国朝圣 尼泊尔深度全景游双飞8天 广州往返】 加德满都 奇特旺国家公园 蓝比尼 博卡拉 喜马拉雅雪山,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,6399元,http://www.jinmalvyou.com/travel/show?good_id=37625
"
                                                                                    ",【雪国印象】尼泊尔 加德满都 博卡拉 纳加阔特 雪山佛国 广州往返 四飞6天 ,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,5299元,http://www.jinmalvyou.com/travel/show?good_id=36722
"
                                                                                    ",【古国探秘 印度+尼泊尔四飞9天 】泰姬陵 纳加阔特 博卡拉  深起港止特价团-,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,8699元,http://www.jinmalvyou.com/travel/show?good_id=34396
"
                                            全程五星酒店，纳加阔特安排特色观景酒店。纳加尔廓—""喜马拉雅山的观景台""，亚洲瑞士-博卡拉—不可错过的绝美的安纳普尔娜雪山日出                                        ",尼泊尔 深度全景 加德满都 卡博拉 奇达旺 蓝毗尼 宗教古国雪山圣景 四飞8天特价团,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,6399元,http://www.jinmalvyou.com/travel/show?good_id=33810
"
                                                                                    ",【雪山佛国】印度+尼泊尔联游四飞9天7晚 深起港止  特价团,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,8799元,http://www.jinmalvyou.com/travel/show?good_id=33747
"
                                            观鱼尾峰壮丽的雪山日出；赏纳加阔特壮丽的雪山日落；精选尼泊尔当地五星+特色观景酒店；塔鲁族民族歌舞表演+尼式特色风味歌舞餐；                                        ",【 南亚精选-尼泊尔】加德满都 奇特旺国家公园 博卡拉 喜马拉雅雪山 双飞8天 深度全景游,尼泊尔,http://www.jinmalvyou.com/search/index/keyword/%E5%B0%BC%E6%B3%8A%E5%B0%94 ,5999元,http://www.jinmalvyou.com/travel/show?good_id=32522
"
                                                                                    ",含寒假【泰国斯米兰+普吉双岛联游5天 广州往返】 橡皮船泛舟 住考拉 国际人妖表演 金佛寺全程豪华酒店,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,1999元,http://www.jinmalvyou.com/travel/show?good_id=39815
"
                                            探访甲米象牙宝穴+橡皮船泛舟+地下河，升级入住1晚甲米豪华酒店+3晚布吉海边豪华酒店，快艇巡游蓝钻珊瑚岛、斯米兰—世界级潜水圣地                                        ",立减1000【春节】泰国斯米兰+普吉双岛联游6天（广州往返 一晚国际超豪华酒店 奥曼海滩冒险俱乐部 品网红餐厅 神仙半岛）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,6999元,http://www.jinmalvyou.com/travel/show?good_id=39056
"
                                            探访甲米象牙宝穴+橡皮船泛舟+地下河，升级入住1晚甲米豪华酒店+3晚布吉海边豪华酒店，特别安排普吉镇网红山顶餐厅、大富豪海鲜餐                                        ",立减500【春节】泰国斯米兰+普吉双岛联游5天4晚（广州往返 奥曼海滩冒险俱乐部 品网红餐厅 神仙半岛）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,6399元,http://www.jinmalvyou.com/travel/show?good_id=39048
"
                                            南航正点航班广州往返机票+2晚豪华酒店+2晚超豪华酒店                                        ",【自由行】泰国普吉岛5天4晚  南航正点航班广州往返机票+2晚豪华酒店+2晚超豪华酒店（赠送机场酒店往返专车接送服务）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,2399元,http://www.jinmalvyou.com/travel/show?good_id=41560
"
                                            广州往返机票+4晚芭东区高级酒店（赠送机场酒店往返专车接送服务                                        ",【自由行】泰国普吉岛5天4晚  南航正点航班 广州往返机票+4晚芭东区高级酒店（赠送机场酒店往返专车接送服务）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,1999元,http://www.jinmalvyou.com/travel/show?good_id=41553
"
                                            南航正点航班广州往返+首晚芭东区高级酒店                                        ",旅展爆款【￥2699/2人自由行】泰国普吉岛5天   南航正点航班广州往返+首晚芭东区高级酒店,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,2699元,http://www.jinmalvyou.com/travel/show?good_id=41187
"
                                            南航广州往返机票+4晚超豪华酒店（赠送机场酒店往返专车接送服务）                                        ",自由行 普吉岛6天4晚·南航广州往返机票+4晚超豪华酒店（赠送机场酒店往返专车接送服务）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,2699元,http://www.jinmalvyou.com/travel/show?good_id=34393
"
                                            南航广州往返机票+4晚芭东区高级酒店+赠送机场酒店往返专车接送服务                                        ",自由行 泰国普吉岛6天4晚 （南航广州往返机票+4晚芭东区高级酒店+赠送机场酒店往返专车接送服务）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,1799元,http://www.jinmalvyou.com/travel/show?good_id=34389
"
                                                                                    ",【普吉岛当地游】随心所欲自由行·布吉岛  斯米兰一日游（甲米出发）,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,590元,http://www.jinmalvyou.com/travel/show?good_id=40118
"
                                                                                    ",海岛(巴厘岛/布吉岛/沙巴/苏梅岛/美娜多)WIFI租赁,布吉岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B8%83%E5%90%89%E5%B2%9B ,105元,http://www.jinmalvyou.com/travel/show?good_id=3071
"
                                            2晚当地海边超豪华酒店，Bali Swing秋千+鸟巢、蓝梦岛+佩尼达岛一天出海游浮潜、INS网红地乌布，丽思卡尔顿酒店下午茶、金巴兰日落海鲜BBQ                                        ",【2晚当地海边超豪华酒店】巴厘岛 蓝梦佩尼达双岛双飞6天团广州往返,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,3899元,http://www.jinmalvyou.com/travel/show?good_id=37444
"
                                                                                    ",寒假【蓝梦岛狮航】巴厘岛 INS网红秋千 梦幻沙滩 双飞5天纯玩团 广州往返,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,3199元,http://www.jinmalvyou.com/travel/show?good_id=40010
"
                                            鹰航广州往返机票+4晚当地超豪华蒂吉利贝诺阿酒店（酒店增值服务*机场-酒店往返接送+自助晚餐）                                        ",【春节】自由行·巴厘岛5天  鹰航广州往返机票+4晚当地超豪华蒂吉利贝诺阿酒店（酒店增值服务*机场-酒店往返接送+自助晚餐）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,6199元,http://www.jinmalvyou.com/travel/show?good_id=39506
"
                                            鹰航广州往返机票+4晚国际超豪华穆丽雅度假村（酒店增值服务*机场-酒店往返接送+自助下午茶）                                        ",【春节尊享】自由行·巴厘岛5天  鹰航广州往返机票+4晚国际超豪华穆丽雅度假村（酒店增值服务*机场-酒店往返接送+自助下午茶）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,8099元,http://www.jinmalvyou.com/travel/show?good_id=39505
"
                                              鹰航广州往返机票+4晚豪华华美达安可酒店（酒店增值服务*机场-酒店往返接送+自助晚餐                                        ",【春节】自由行·巴厘岛5天  鹰航广州往返机票+4晚豪华华美达安可酒店（酒店增值服务*机场-酒店往返接送+自助晚餐）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,5599元,http://www.jinmalvyou.com/travel/show?good_id=39503
"
                                            狮航广州往返机票+4晚精品酒店+赠送一台WiFi                                        ",【春节自由行】巴厘岛5天4晚   狮航广州往返机票+4晚精品酒店+赠送一台WiFi,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,5299元,http://www.jinmalvyou.com/travel/show?good_id=39020
"
                                                                                    ",【春节】巴厘岛+蓝梦佩尼达双岛双飞5天团 （广州往返 乌布大秋千+鸟巢 INS网红地乌布 全程当地海边超豪华酒店）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,6399元,http://www.jinmalvyou.com/travel/show?good_id=38982
"
                                                                                    ",【春节】巴厘岛 蓝梦佩尼达双岛双飞6天【广州往返 全程当地海边超豪华酒店】,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,8099元,http://www.jinmalvyou.com/travel/show?good_id=38737
"
                                            南航广州往返巴厘岛机票                                        ",【特价机票自由行】巴厘岛6天5晚   南航广州往返机票,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,2599元,http://www.jinmalvyou.com/travel/show?good_id=38169
"
                                            狮航*广州往返巴厘岛五天机票                                        ",【特价机票】自由行·巴厘岛5天4晚   狮航*广州往返机票,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,2499元,http://www.jinmalvyou.com/travel/show?good_id=38167
"
                                             五星鹰航广州往返+4晚阿雅娜水疗度假酒店+机场酒店往返接送+下午茶                                        ",【奢享自由行】巴厘岛5天4晚 （ 五星鹰航广州往返+4晚阿雅娜水疗度假酒店+机场酒店往返接送+下午茶）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,7399元,http://www.jinmalvyou.com/travel/show?good_id=36949
"
                                            五星鹰航广州往返+4晚穆丽雅度假村酒店增值服务*机场酒店往返接送*自助甜点下午茶                                        ",【尊享自由行】巴厘岛5天4晚 （五星鹰航广州往返+4晚穆丽雅度假村酒店增值服务*机场酒店往返接送*自助甜点下午茶）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,6099元,http://www.jinmalvyou.com/travel/show?good_id=36947
"
                                            鹰航广州往返机票+4晚华美达安可酒店+机场-酒店往返接送+自助餐                                        ",自由行 巴厘岛5天 （鹰航广州往返机票+4晚华美达安可酒店+机场-酒店往返接送+自助餐）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,3799元,http://www.jinmalvyou.com/travel/show?good_id=32180
"
                                                                                    ",自由行 巴厘岛5天4晚 （鹰航*广州往返机票+4晚当地超豪华酒店+机场-酒店往返接送）,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,4199元,http://www.jinmalvyou.com/travel/show?good_id=27219
"
                                             狮航*广州往返机票                                        ",【春节自由行】巴厘岛5天4晚   狮航广州往返机票【赠送一台WiFi】,巴厘岛,http://www.jinmalvyou.com/search/index/keyword/%E5%B7%B4%E5%8E%98%E5%B2%9B ,4499元,http://www.jinmalvyou.com/travel/show?good_id=38919
"
                                                                                    ",含寒假 印尼美娜多双飞6天游【广州往返】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,2999元,http://www.jinmalvyou.com/travel/show?good_id=32956
"
                                                                                    ",【全程豪华酒店】印尼美娜多 托莫洪区  MAHAWU火山双飞6天游【广州往返】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,3899元,http://www.jinmalvyou.com/travel/show?good_id=32955
"
                                            尼莫公园——欢迎来到尼莫之家，和小丑鱼亲密接触，布纳肯海洋保护区——世界五大潜水胜地之一。                                        ",印尼美娜多双飞5天游【广州往返】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,2899元,http://www.jinmalvyou.com/travel/show?good_id=32954
"
                                            尼莫公园——欢迎来到尼莫之家，和小丑鱼亲密接触，布纳肯海洋保护区——世界五大潜水胜地之一，免签，旅游无国界                                        ",【寒假】印尼美娜多 出海浮潜双飞6天游【广州往返 1天自由活动】,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,3999元,http://www.jinmalvyou.com/travel/show?good_id=38999
"
                                            冒险乐园，体验原始丛林风貌，布纳肯海洋生态保护区，下海浮潜拜访小丑鱼尼莫的家，尼莫公园和小丑鱼亲密接触，免签，旅游无国界                                        ",【春节 亲子游】印尼美娜多 托莫洪区 MAHAWU火山 双飞6天游（广州往返+新年盆菜宴） ,美娜多,http://www.jinmalvyou.com/search/index/keyword/%E7%BE%8E%E5%A8%9C%E5%A4%9A ,7699元,http://www.jinmalvyou.com/travel/show?good_id=38946
